Rank,Player,Pass Yds,Pass TD,Pass INT,Rush YDS,Rush TD,REC,REC YDS,REC TDS,GAMES
1,Justin Jefferson,0,0,0,23,0,115,1495,9,15
2,Austin Ekeler,0,0,0,835,9,67,501,3,14
3,Ja'Marr Chase,0,0,0,20,0,102,1459,11,15
4,Christian McCaffrey,0,0,0,854,7,70,552,3,14
5,Travis Kelce,0,0,0,15,0,101,1142,10,15
6,Cooper Kupp,0,0,0,67,0,126,1492,7,15
7,Bijan Robinson,0,0,0,1116,7,50,377,2,14
8,Tyreek Hill,0,0,0,50,1,103,1334,8,15
9,Saquon Barkley,0,0,0,1013,8,53,430,2,14
10,Derrick Henry,0,0,0,1353,8,32,287,1,14
11,Davante Adams,0,0,0,12,0,96,1471,7,15
12,Jonathan Taylor,0,0,0,1332,8,36,282,1,14
13,Stefon Diggs,0,0,0,0,0,97,1203,8,15
14,CeeDee Lamb,0,0,0,59,0,97,1219,6,15
15,Garrett Wilson,0,0,0,24,0,83,1140,9,15
16,Amon-Ra St. Brown,0,0,0,65,1,95,1033,5,15
17,A.J. Brown,0,0,0,0,0,74,1129,7,15
18,Josh Jacobs,0,0,0,1167,9,42,308,1,14
19,Nick Chubb,0,0,0,1246,9,30,273,1,14
20,Tony Pollard,0,0,0,1157,8,39,319,2,14
21,Jaylen Waddle,0,0,0,25,0,82,1075,6,15
22,Patrick Mahomes,4707,39,11,333,3,0,0,0,16
23,Josh Allen,4178,31,13,631,6,0,0,0,16
24,Jalen Hurts,3512,22,10,670,12,0,0,0,15
25,Breece Hall,0,0,0,890,6,43,382,2,12
26,Joe Mixon,0,0,0,819,7,50,354,3,14
27,DK Metcalf,0,0,0,0,0,77,1008,8,15
28,Tee Higgins,0,0,0,0,0,82,1051,7,15
29,DeVonta Smith,0,0,0,0,0,79,1015,7,15
30,Rhamondre Stevenson,0,0,0,924,6,49,340,1,14
31,Travis Etienne Jr.,0,0,0,969,6,40,324,2,14
32,Najee Harris,0,0,0,965,6,43,273,2,14
33,Aaron Jones,0,0,0,951,4,52,403,3,14
34,Jahmyr Gibbs,0,0,0,745,7,47,376,2,14
35,Dameon Pierce,0,0,0,978,7,37,266,1,14
36,Rachaad White,0,0,0,906,5,44,294,1,14
37,Chris Olave,0,0,0,0,0,73,1069,5,15
38,Deebo Samuel,0,0,0,244,2,61,883,5,14
39,Keenan Allen,0,0,0,0,0,88,925,6,15
40,Amari Cooper,0,0,0,0,0,71,961,7,15
41,Lamar Jackson,3325,25,12,925,5,0,0,0,15
42,Joe Burrow,4514,33,12,254,5,0,0,0,16
43,Mark Andrews,0,0,0,19,0,72,858,7,15
44,Jerry Jeudy,0,0,0,14,0,70,1045,6,15
45,Chris Godwin,0,0,0,24,0,88,970,3,14
46,Christian Watson,0,0,0,59,0,67,984,6,15
47,Alvin Kamara,0,0,0,669,4,49,447,2,11
48,Miles Sanders,0,0,0,969,5,36,297,1,14
49,T.J. Hockenson,0,0,0,0,0,75,846,6,15
50,Calvin Ridley,0,0,0,25,0,74,924,6,14
51,Diontae Johnson,0,0,0,28,0,78,960,5,15
52,DeAndre Hopkins,0,0,0,0,0,86,983,4,15
53,DJ Moore,0,0,0,57,0,64,925,7,15
54,Mike Evans,0,0,0,0,0,72,1042,5,15
55,Terry McLaurin,0,0,0,25,0,75,1005,4,15
56,Mike Williams,0,0,0,0,0,68,933,7,15
57,Marquise Brown,0,0,0,0,0,76,982,4,15
58,Darren Waller,0,0,0,0,0,67,813,6,15
59,James Conner,0,0,0,872,7,43,291,1,13
60,Alexander Mattison,0,0,0,881,8,35,248,1,14
61,Cam Akers,0,0,0,875,7,33,279,2,14
62,Justin Fields,3190,22,12,911,6,0,0,0,15
63,Justin Herbert,4315,30,11,202,1,0,0,0,16
64,Tyler Lockett,0,0,0,0,0,80,868,5,15
65,Kenneth Walker III,0,0,0,976,7,30,212,1,14
66,Isiah Pacheco,0,0,0,905,7,30,235,1,14
67,Drake London,0,0,0,0,0,75,917,5,15
68,Brandon Aiyuk,0,0,0,16,0,68,863,5,15
69,James Cook,0,0,0,704,4,44,341,2,14
70,Dalvin Cook,-,-,-,-,-,-,-,-,-
71,George Kittle,0,0,0,11,0,62,723,5,15
