"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","1","7","3.1","2.0","-"
"2",1,"Josh Allen",BUF,"QB2","1","14","4.0","2.7","-"
"3",1,"Justin Jefferson",MIN,"WR1","1","15","4.3","3.2","-"
"4",1,"Jalen Hurts",PHI,"QB3","1","26","4.5","3.6","-"
"5",1,"Christian McCaffrey",SF,"RB1","1","14","5.0","3.3","-"
"6",2,"Ja'Marr Chase",CIN,"WR2","1","21","7.6","4.3","-"
"7",2,"Austin Ekeler",LAC,"RB2","1","25","8.8","4.5","-"
"8",2,"Cooper Kupp",LAR,"WR3","4","28","11.6","4.9","-"
"9",2,"Travis Kelce",KC,"TE1","6","23","12.7","3.8","-"
"10",2,"Bijan Robinson",ATL,"RB3","4","26","13.2","5.6","-"
"11",2,"Joe Burrow",CIN,"QB4","3","77","13.3","9.5","-"
"12",3,"Tyreek Hill",MIA,"WR4","6","22","14.2","4.3","-"
"13",3,"Nick Chubb",CLE,"RB4","4","28","14.6","5.3","-"
"14",3,"Saquon Barkley",NYG,"RB5","4","35","16.0","6.8","-"
"15",3,"Lamar Jackson",BAL,"QB5","2","46","12.1","7.3","-"
"16",3,"Justin Fields",CHI,"QB6","4","45","17.1","8.6","-"
"17",3,"Jonathan Taylor",IND,"RB6","5","34","17.7","7.2","-"
"18",3,"Stefon Diggs",BUF,"WR5","12","34","19.4","4.5","-"
"19",3,"Tony Pollard",DAL,"RB7","8","36","21.8","6.6","-"
"20",3,"Derrick Henry",TEN,"RB8","5","37","21.8","7.0","-"
"21",3,"CeeDee Lamb",DAL,"WR6","12","38","21.9","5.0","-"
"22",4,"A.J. Brown",PHI,"WR7","13","35","23.4","5.0","-"
"23",4,"Justin Herbert",LAC,"QB7","5","53","18.6","8.8","-"
"24",4,"Davante Adams",LV,"WR8","12","40","24.7","6.0","-"
"25",4,"Amon-Ra St. Brown",DET,"WR9","16","39","26.4","5.7","-"
"26",4,"Josh Jacobs",LV,"RB9","9","65","26.9","10.3","-"
"27",4,"Garrett Wilson",NYJ,"WR10","15","42","27.8","6.1","-"
"28",4,"Trevor Lawrence",JAC,"QB8","8","64","25.4","9.1","-"
"29",4,"Rhamondre Stevenson",NE,"RB10","18","51","30.7","8.0","-"
"30",4,"Jaylen Waddle",MIA,"WR11","20","42","32.5","5.3","-"
"31",5,"Chris Olave",NO,"WR12","24","55","36.4","6.5","-"
"32",5,"Najee Harris",PIT,"RB11","19","62","37.3","10.0","-"
"33",5,"Mark Andrews",BAL,"TE2","24","77","38.3","8.7","-"
"34",5,"Deshaun Watson",CLE,"QB9","7","71","34.8","13.9","-"
"35",5,"Breece Hall",NYJ,"RB12","19","80","39.5","12.9","-"
"36",5,"Tee Higgins",CIN,"WR13","25","57","40.1","6.0","-"
"37",5,"DeVonta Smith",PHI,"WR14","27","73","40.9","7.1","-"
"38",5,"Joe Mixon",CIN,"RB13","19","74","41.0","11.3","-"
"39",5,"Dak Prescott",DAL,"QB10","13","77","37.1","11.5","-"
"40",5,"Travis Etienne Jr.",JAC,"RB14","20","67","42.6","11.5","-"
"41",5,"DK Metcalf",SEA,"WR15","29","63","44.2","7.1","-"
"42",5,"Aaron Jones",GB,"RB15","23","74","45.5","11.1","-"
"43",5,"Tua Tagovailoa",MIA,"QB11","12","118","42.0","14.1","-"
"44",5,"Jahmyr Gibbs",DET,"RB16","21","93","47.2","13.5","-"
"45",5,"Amari Cooper",CLE,"WR16","35","70","47.8","7.4","-"
"46",5,"Daniel Jones",NYG,"QB12","16","77","44.5","12.6","-"
"47",5,"Keenan Allen",LAC,"WR17","28","74","49.8","8.2","-"
"48",5,"Kirk Cousins",MIN,"QB13","16","82","45.9","11.9","-"
"49",6,"Geno Smith",SEA,"QB14","17","77","48.6","13.7","-"
"50",6,"Kenneth Walker III",SEA,"RB17","24","84","54.2","13.6","-"
"51",6,"Deebo Samuel",SF,"WR18","33","92","55.3","12.0","-"
"52",6,"Miles Sanders",CAR,"RB18","31","95","57.0","14.7","-"
"53",6,"T.J. Hockenson",MIN,"TE3","27","110","57.3","17.7","-"
"54",6,"J.K. Dobbins",BAL,"RB19","33","91","57.8","13.5","-"
"55",6,"Calvin Ridley",JAC,"WR19","24","100","58.8","16.7","-"
"56",6,"Aaron Rodgers",NYJ,"QB15","17","104","54.5","14.6","-"
"57",6,"Cam Akers",LAR,"RB20","31","101","62.0","14.1","-"
