"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","609.8","405.5","4,832.0","37.7","11.2","64.9","356.8","3.2","1.9","383.8"
"","high","644.3","427.0","5,173.6","39.5","9.1","69.0","434.3","3.9","1.0","449.0"
"","low","555.7","374.0","4,467.7","33.1","12.9","59.2","305.9","2.9","3.8","366.5"
"Josh Allen","BUF","575.5","362.9","4,274.9","32.0","14.2","117.0","661.5","6.2","4.2","380.2"
"","high","610.2","387.4","4,555.2","34.0","10.8","129.6","702.0","7.6","2.2","446.5"
"","low","526.4","337.4","4,062.1","30.3","19.0","105.3","591.6","5.0","5.4","370.6"
"Jalen Hurts","PHI","494.8","318.5","3,827.8","23.8","10.1","157.6","801.0","11.0","2.9","378.9"
"","high","531.3","350.3","4,039.4","28.0","8.0","174.0","933.2","15.6","1.0","427.0"
"","low","457.0","291.1","3,518.2","18.8","14.7","141.5","669.7","7.7","4.6","372.3"
"Lamar Jackson","BAL","477.6","303.1","3,463.3","25.5","11.5","148.9","942.9","5.5","3.0","350.4"
"","high","535.0","329.0","3,701.0","28.0","10.0","170.4","1,082.1","7.4","1.5","396.1"
"","low","402.6","263.0","3,090.5","20.1","16.0","130.0","777.0","3.0","4.2","338.6"
"Joe Burrow","CIN","599.0","407.3","4,634.8","33.0","13.1","65.4","274.4","3.9","2.3","350.2"
"","high","634.2","425.1","4,780.5","34.0","11.6","71.0","423.6","5.0","0.6","400.1"
"","low","567.5","391.2","4,513.5","31.0","14.2","56.0","189.0","2.6","3.8","331.3"
"Justin Fields","CHI","408.0","250.9","2,912.3","20.4","12.8","161.3","1,070.2","6.9","3.5","326.7"
"","high","464.0","283.0","3,245.0","23.0","10.0","189.8","1,235.2","8.5","0.7","371.8"
"","low","351.8","213.3","2,626.8","17.3","19.0","139.1","910.3","6.0","5.9","310.4"
"Justin Herbert","LAC","627.8","422.0","4,596.1","30.1","12.7","57.1","220.7","2.0","2.0","321.5"
"","high","689.0","468.0","4,813.2","31.7","11.4","60.3","274.4","3.6","0.4","383.1"
"","low","591.1","397.5","4,318.5","29.0","15.9","54.0","173.0","1.0","3.8","319.6"
"Deshaun Watson","CLE","508.0","326.7","3,872.6","24.8","11.3","96.1","481.9","4.1","1.8","311.9"
"","high","565.0","356.0","4,021.6","28.1","9.0","113.3","546.2","7.0","0.5","339.0"
"","low","474.5","314.2","3,739.8","22.9","18.0","82.0","376.0","2.0","3.4","299.8"
"Kirk Cousins","MIN","592.7","394.9","4,442.0","30.5","12.3","31.6","92.0","1.5","2.8","300.3"
"","high","636.0","429.0","4,617.0","32.3","9.9","41.6","102.1","2.1","0.7","357.2"
"","low","508.2","346.9","4,147.6","28.7","14.0","22.9","63.8","0.9","4.2","285.6"
"Dak Prescott","DAL","550.4","363.1","4,111.0","29.1","13.9","58.0","248.6","2.3","3.1","299.9"
"","high","567.3","371.0","4,218.9","31.5","13.0","65.0","304.6","3.1","1.8","342.9"
"","low","536.6","354.9","3,903.0","26.3","17.0","55.0","199.0","1.0","3.8","292.4"
"Trevor Lawrence","JAC","579.2","378.4","4,085.8","26.6","12.3","62.2","285.1","3.9","5.2","299.3"
"","high","595.9","395.2","4,329.9","30.0","9.1","69.0","311.0","6.8","1.8","348.3"
"","low","566.2","365.5","3,916.7","24.0","14.6","55.8","250.4","2.9","8.0","289.2"
"Daniel Jones","NYG","515.3","335.6","3,474.5","20.8","9.8","109.3","638.6","4.9","4.1","297.4"
"","high","540.9","357.1","3,629.8","22.0","6.0","121.9","750.8","5.7","1.9","335.8"
"","low","501.0","326.0","3,318.0","19.7","11.9","91.1","556.4","4.0","6.9","289.0"
"Geno Smith","SEA","543.4","370.0","4,038.3","27.1","11.3","62.2","323.3","2.0","3.5","295.9"
"","high","589.0","400.0","4,258.9","28.9","8.8","72.0","366.5","4.0","1.6","362.9"
"","low","467.7","328.1","3,649.8","25.2","13.0","55.5","275.9","1.0","4.1","282.2"
"Aaron Rodgers","NYJ","565.3","366.1","4,101.8","28.4","8.6","36.0","123.9","1.6","2.6","285.4"
"","high","612.0","381.0","4,395.0","30.8","6.0","41.2","170.8","2.0","1.3","329.3"
"","low","491.6","329.7","3,750.1","25.0","11.0","30.0","83.0","1.0","3.7","278.8"
"Russell Wilson","DEN","511.8","323.0","3,816.1","24.4","10.7","63.5","318.4","2.7","2.1","283.4"
"","high","552.5","353.2","4,013.0","27.8","8.7","66.0","359.0","4.0","0.4","321.0"
"","low","449.1","287.8","3,460.2","22.0","12.0","59.0","261.0","1.9","3.8","256.7"
"Jared Goff","DET","570.6","375.1","4,241.6","28.0","11.0","31.0","79.8","1.1","3.6","277.8"
"","high","601.2","390.1","4,448.3","30.8","7.0","35.3","87.2","1.7","1.3","326.0"
"","low","551.0","363.0","3,914.0","24.0","12.9","21.8","67.8","0.0","5.0","272.0"
"Tua Tagovailoa","MIA","523.8","342.3","4,037.3","26.9","12.1","42.3","131.9","1.6","1.8","276.3"
"","high","595.4","384.4","4,460.8","31.1","10.6","60.4","165.7","2.6","1.0","323.7"
"","low","488.7","326.0","3,886.7","23.0","14.0","32.1","95.0","1.0","3.9","252.7"
"Anthony Richardson","IND","484.1","298.1","3,155.2","17.5","13.2","128.5","568.0","4.0","2.5","258.6"
"","high","560.3","362.9","4,081.1","24.0","10.0","200.0","981.0","6.3","0.7","284.3"
